,Values,Param,Seasons
144,195.0,COD,Winter
145,252.0,COD,Winter
146,493.0,COD,Winter
147,683.0,COD,Winter
148,189.0,COD,Winter
149,320.0,COD,Winter
150,480.0,COD,Winter
151,816.0,COD,Winter
152,582.0,COD,Winter
153,700.0,COD,Summer
154,718.0,COD,Summer
155,870.0,COD,Summer
156,912.0,COD,Summer
157,655.0,COD,Summer
158,725.0,COD,Summer
159,530.0,COD,Summer
160,1180.0,COD,Summer
161,879.0,COD,Summer
162,2.6,Ammonium,Winter
163,3.2,Ammonium,Winter
164,8.0,Ammonium,Winter
165,9.4,Ammonium,Winter
166,2.1,Ammonium,Winter
167,5.6,Ammonium,Winter
168,4.6,Ammonium,Winter
169,11.2,Ammonium,Winter
170,9.4,Ammonium,Winter
171,2.9,Ammonium,Summer
172,2.8,Ammonium,Summer
173,7.6,Ammonium,Summer
174,8.2,Ammonium,Summer
175,3.0,Ammonium,Summer
176,5.9,Ammonium,Summer
177,2.2,Ammonium,Summer
178,10.4,Ammonium,Summer
179,9.3,Ammonium,Summer
180,13.1,Nitrate,Winter
181,12.4,Nitrate,Winter
182,17.3,Nitrate,Winter
183,24.6,Nitrate,Winter
184,9.8,Nitrate,Winter
185,18.2,Nitrate,Winter
186,12.4,Nitrate,Winter
187,24.5,Nitrate,Winter
188,25.8,Nitrate,Winter
189,33.0,Nitrate,Summer
190,32.3,Nitrate,Summer
191,37.2,Nitrate,Summer
192,41.9,Nitrate,Summer
193,19.8,Nitrate,Summer
194,38.2,Nitrate,Summer
195,18.4,Nitrate,Summer
196,44.5,Nitrate,Summer
197,19.7,Nitrate,Summer
198,3.5,Phosphate,Winter
199,5.7,Phosphate,Winter
200,6.0,Phosphate,Winter
201,3.5,Phosphate,Winter
202,3.9,Phosphate,Winter
203,5.0,Phosphate,Winter
204,6.5,Phosphate,Winter
205,5.3,Phosphate,Winter
206,6.8,Phosphate,Winter
207,2.15,Phosphate,Summer
208,2.78,Phosphate,Summer
209,3.11,Phosphate,Summer
210,2.23,Phosphate,Summer
211,1.51,Phosphate,Summer
212,2.12,Phosphate,Summer
213,2.29,Phosphate,Summer
214,3.24,Phosphate,Summer
215,4.57,Phosphate,Summer
216,8.77,Sulfates,Winter
217,11.4,Sulfates,Winter
218,12.4,Sulfates,Winter
219,9.25,Sulfates,Winter
220,9.2,Sulfates,Winter
221,9.86,Sulfates,Winter
222,18.7,Sulfates,Winter
223,10.8,Sulfates,Winter
224,17.1,Sulfates,Winter
225,92.5,Sulfates,Summer
226,74.2,Sulfates,Summer
227,107.8,Sulfates,Summer
228,94.8,Sulfates,Summer
229,89.2,Sulfates,Summer
230,54.2,Sulfates,Summer
231,70.8,Sulfates,Summer
232,77.7,Sulfates,Summer
233,102.1,Sulfates,Summer
234,39.2,Potassium,Winter
235,36.8,Potassium,Winter
236,42.2,Potassium,Winter
237,18.5,Potassium,Winter
238,19.4,Potassium,Winter
239,33.1,Potassium,Winter
240,48.7,Potassium,Winter
241,28.2,Potassium,Winter
242,21.3,Potassium,Winter
243,59.2,Potassium,Summer
244,46.8,Potassium,Summer
245,32.5,Potassium,Summer
246,18.9,Potassium,Summer
247,23.8,Potassium,Summer
248,29.4,Potassium,Summer
249,40.1,Potassium,Summer
250,31.2,Potassium,Summer
251,29.0,Potassium,Summer
252,95.6,Calcium,Winter
253,86.4,Calcium,Winter
254,108.2,Calcium,Winter
255,56.3,Calcium,Winter
256,32.9,Calcium,Winter
257,83.1,Calcium,Winter
258,132.6,Calcium,Winter
259,75.5,Calcium,Winter
260,70.2,Calcium,Winter
261,102.5,Calcium,Summer
262,72.3,Calcium,Summer
263,98.6,Calcium,Summer
264,54.3,Calcium,Summer
265,30.9,Calcium,Summer
266,72.5,Calcium,Summer
267,130.2,Calcium,Summer
268,69.8,Calcium,Summer
269,65.5,Calcium,Summer
270,52.6,Magnesium,Winter
271,37.4,Magnesium,Winter
272,68.9,Magnesium,Winter
273,29.8,Magnesium,Winter
274,11.9,Magnesium,Winter
275,38.5,Magnesium,Winter
276,83.6,Magnesium,Winter
277,42.7,Magnesium,Winter
278,36.1,Magnesium,Winter
279,75.4,Magnesium,Summer
280,39.6,Magnesium,Summer
281,38.9,Magnesium,Summer
282,28.8,Magnesium,Summer
283,16.5,Magnesium,Summer
284,30.4,Magnesium,Summer
285,95.1,Magnesium,Summer
286,21.8,Magnesium,Summer
287,30.7,Magnesium,Summer
288,110.8,Chloride,Winter
289,277.3,Chloride,Winter
290,289.9,Chloride,Winter
291,15.8,Chloride,Winter
292,32.1,Chloride,Winter
293,116.7,Chloride,Winter
294,334.1,Chloride,Winter
295,236.0,Chloride,Winter
296,245.9,Chloride,Winter
297,98.14,Chloride,Summer
298,110.27,Chloride,Summer
299,113.55,Chloride,Summer
300,38.83,Chloride,Summer
301,41.79,Chloride,Summer
302,78.56,Chloride,Summer
303,43.95,Chloride,Summer
304,146.2,Chloride,Summer
305,167.48,Chloride,Summer
