Location,Param,y
Chandpai Range,Cu,0
Chandpai Range,Cu,0
Chandpai Range,Cu,0
Chandpai Range,Cu,0
Chandpai Range,Cu,0
Satkhira Range,Cu,0
Satkhira Range,Cu,0
Satkhira Range,Cu,0
Satkhira Range,Cu,0
Satkhira Range,Cu,0
Sarankhola Range,Zn,1.71
Sarankhola Range,Zn,2.35
Sarankhola Range,Zn,1
Sarankhola Range,Zn,1.9
Sarankhola Range,Zn,0.6
Khulna Range,Zn,0.76
Khulna Range,Zn,0.73
Khulna Range,Zn,1.31
Khulna Range,Zn,1.03
Khulna Range,Zn,1.22
Chandpai Range,Zn,1.28
Chandpai Range,Zn,1.03
Chandpai Range,Zn,0.79
Chandpai Range,Zn,1.03
Chandpai Range,Zn,0.99
Satkhira Range,Zn,1.84
Satkhira Range,Zn,1.27
Satkhira Range,Zn,1.25
Satkhira Range,Zn,3.44
Satkhira Range,Zn,2.31
Sarankhola Range,As,0
Sarankhola Range,As,0
Sarankhola Range,As,0
Sarankhola Range,As,0
Sarankhola Range,As,0
Khulna Range,As,0
Khulna Range,As,0.41
Khulna Range,As,0
Khulna Range,As,0
Khulna Range,As,0
Chandpai Range,As,0
Chandpai Range,As,0
Chandpai Range,As,0
Chandpai Range,As,2.47
Chandpai Range,As,2.07
Satkhira Range,As,0
Satkhira Range,As,0
Satkhira Range,As,0
Satkhira Range,As,0
Satkhira Range,As,0
Sarankhola Range,Rb,1.28
Sarankhola Range,Rb,1.81
Sarankhola Range,Rb,0.83
Sarankhola Range,Rb,0.85
Sarankhola Range,Rb,0.91
Khulna Range,Rb,0.8
Khulna Range,Rb,0.8
Khulna Range,Rb,1.52
Khulna Range,Rb,0.89
Khulna Range,Rb,2.35
Chandpai Range,Rb,1.48
Chandpai Range,Rb,0.89
Chandpai Range,Rb,0.83
Chandpai Range,Rb,0.9
Chandpai Range,Rb,0.92
Satkhira Range,Rb,1.22
Satkhira Range,Rb,0.95
Satkhira Range,Rb,0.99
Satkhira Range,Rb,2.38
Satkhira Range,Rb,1.82
Sarankhola Range,Sr,0.4
Sarankhola Range,Sr,0.5
Sarankhola Range,Sr,0.31
Sarankhola Range,Sr,0.42
Sarankhola Range,Sr,0.35
Khulna Range,Sr,0.34
Khulna Range,Sr,0.3
Khulna Range,Sr,0.4
Khulna Range,Sr,0.39
Khulna Range,Sr,0.36
Chandpai Range,Sr,0.3
Chandpai Range,Sr,0.3
Chandpai Range,Sr,0.37
Chandpai Range,Sr,0.35
Chandpai Range,Sr,0.41
Satkhira Range,Sr,0.42
Satkhira Range,Sr,0.4
Satkhira Range,Sr,0.42
Satkhira Range,Sr,1.21
Satkhira Range,Sr,0.62
Sarankhola Range,Y,1.34
Sarankhola Range,Y,1.81
Sarankhola Range,Y,1.59
Sarankhola Range,Y,2.14
Sarankhola Range,Y,1.26
Khulna Range,Y,1.64
Khulna Range,Y,1.91
Khulna Range,Y,2.11
Khulna Range,Y,1.64
Khulna Range,Y,1.05
Chandpai Range,Y,1.05
Chandpai Range,Y,1.51
Chandpai Range,Y,1.87
Chandpai Range,Y,1.46
Chandpai Range,Y,2.39
Satkhira Range,Y,1.18
Satkhira Range,Y,1.64
Satkhira Range,Y,1.63
Satkhira Range,Y,3.5
Satkhira Range,Y,2.15
Sarankhola Range,Zr,1.16
Sarankhola Range,Zr,1.28
Sarankhola Range,Zr,1.08
Sarankhola Range,Zr,2.22
Sarankhola Range,Zr,1.16
Khulna Range,Zr,1.34
Khulna Range,Zr,1.9
Khulna Range,Zr,1.32
Khulna Range,Zr,1.73
Khulna Range,Zr,1.31
Chandpai Range,Zr,0.92
Chandpai Range,Zr,1.09
Chandpai Range,Zr,1.95
Chandpai Range,Zr,2.09
Chandpai Range,Zr,2.11
Satkhira Range,Zr,1.65
Satkhira Range,Zr,2.56
Satkhira Range,Zr,1.46
Satkhira Range,Zr,2.14
Satkhira Range,Zr,1.8
Sarankhola Range,Nb,0.23
Sarankhola Range,Nb,0.25
Sarankhola Range,Nb,0.76
Sarankhola Range,Nb,1.22
Sarankhola Range,Nb,1.2
Khulna Range,Nb,1.27
Khulna Range,Nb,1.34
Khulna Range,Nb,1.11
Khulna Range,Nb,0.88
Khulna Range,Nb,1.48
Chandpai Range,Nb,0.63
Chandpai Range,Nb,0.69
Chandpai Range,Nb,0.83
Chandpai Range,Nb,1.23
Chandpai Range,Nb,0.89
Satkhira Range,Nb,1.07
Satkhira Range,Nb,0.78
Satkhira Range,Nb,1.1
Satkhira Range,Nb,1.55
Satkhira Range,Nb,1.43
Sarankhola Range,Pb,0
Sarankhola Range,Pb,0
Sarankhola Range,Pb,0
Sarankhola Range,Pb,0
Sarankhola Range,Pb,0
Khulna Range,Pb,0
Khulna Range,Pb,0
Khulna Range,Pb,0
Khulna Range,Pb,0
Khulna Range,Pb,0
Chandpai Range,Pb,0
Chandpai Range,Pb,0
Chandpai Range,Pb,0
Chandpai Range,Pb,0
Chandpai Range,Pb,0
Satkhira Range,Pb,0.15
Satkhira Range,Pb,0.27
Satkhira Range,Pb,0.19
Satkhira Range,Pb,0
Satkhira Range,Pb,0
