Location,Param,y
Sarankhola Range,Cu,2.22
Sarankhola Range,Cu,1.77
Khulna Range,Cu,0
Khulna Range,Cu,0
Khulna Range,Cu,0
Khulna Range,Cu,0
Khulna Range,Cu,0
Chandpai Range,Cu,0
Chandpai Range,Cu,0
Chandpai Range,Cu,0
Chandpai Range,Cu,0
Chandpai Range,Cu,0
Satkhira Range,Cu,0
Satkhira Range,Cu,0
Satkhira Range,Cu,0
Satkhira Range,Cu,0
Satkhira Range,Cu,0
Sarankhola Range,Zn,1.75
Sarankhola Range,Zn,1.89
Sarankhola Range,Zn,1.03
Sarankhola Range,Zn,1.71
Sarankhola Range,Zn,0.67
Khulna Range,Zn,0.8
Khulna Range,Zn,0.74
Khulna Range,Zn,1.35
Khulna Range,Zn,0.99
Khulna Range,Zn,1.26
Chandpai Range,Zn,1.48
Chandpai Range,Zn,1.18
Chandpai Range,Zn,0.75
Chandpai Range,Zn,0.98
Chandpai Range,Zn,0.9
Satkhira Range,Zn,1.89
Satkhira Range,Zn,1.12
Satkhira Range,Zn,1.19
Satkhira Range,Zn,2.8
Satkhira Range,Zn,2.36
Sarankhola Range,As,0
Sarankhola Range,As,0
Sarankhola Range,As,0
Sarankhola Range,As,0
Sarankhola Range,As,0
Khulna Range,As,0
Khulna Range,As,0.42
Khulna Range,As,0
Khulna Range,As,0
Khulna Range,As,0
Chandpai Range,As,0
Chandpai Range,As,0
Chandpai Range,As,0
Chandpai Range,As,2.36
Chandpai Range,As,1.87
Satkhira Range,As,0
Satkhira Range,As,0
Satkhira Range,As,0
Satkhira Range,As,0
Satkhira Range,As,0
Sarankhola Range,Rb,1.31
Sarankhola Range,Rb,1.46
Sarankhola Range,Rb,0.85
Sarankhola Range,Rb,0.76
Sarankhola Range,Rb,1.01
Khulna Range,Rb,0.84
Khulna Range,Rb,0.82
Khulna Range,Rb,1.58
Khulna Range,Rb,0.85
Khulna Range,Rb,2.43
Chandpai Range,Rb,1.72
Chandpai Range,Rb,1.02
Chandpai Range,Rb,0.79
Chandpai Range,Rb,0.86
Chandpai Range,Rb,0.83
Satkhira Range,Rb,1.26
Satkhira Range,Rb,0.84
Satkhira Range,Rb,0.94
Satkhira Range,Rb,1.94
Satkhira Range,Rb,1.86
Sarankhola Range,Sr,0.4
Sarankhola Range,Sr,0.4
Sarankhola Range,Sr,0.32
Sarankhola Range,Sr,0.38
Sarankhola Range,Sr,0.39
Khulna Range,Sr,0.36
Khulna Range,Sr,0.31
Khulna Range,Sr,0.41
Khulna Range,Sr,0.38
Khulna Range,Sr,0.37
Chandpai Range,Sr,0.35
Chandpai Range,Sr,0.35
Chandpai Range,Sr,0.35
Chandpai Range,Sr,0.34
Chandpai Range,Sr,0.38
Satkhira Range,Sr,0.44
Satkhira Range,Sr,0.35
Satkhira Range,Sr,0.4
Satkhira Range,Sr,0.99
Satkhira Range,Sr,0.63
Sarankhola Range,Y,1.37
Sarankhola Range,Y,1.45
Sarankhola Range,Y,1.64
Sarankhola Range,Y,1.93
Sarankhola Range,Y,1.39
Khulna Range,Y,1.72
Khulna Range,Y,1.93
Khulna Range,Y,2.19
Khulna Range,Y,1.57
Khulna Range,Y,1.09
Chandpai Range,Y,1.22
Chandpai Range,Y,1.73
Chandpai Range,Y,1.78
Chandpai Range,Y,1.39
Chandpai Range,Y,2.16
Satkhira Range,Y,1.22
Satkhira Range,Y,1.44
Satkhira Range,Y,1.54
Satkhira Range,Y,2.86
Satkhira Range,Y,2.2
Sarankhola Range,Zr,1.19
Sarankhola Range,Zr,1.03
Sarankhola Range,Zr,1.12
Sarankhola Range,Zr,2
Sarankhola Range,Zr,1.29
Khulna Range,Zr,1.41
Khulna Range,Zr,1.93
Khulna Range,Zr,1.37
Khulna Range,Zr,1.66
Khulna Range,Zr,1.35
Chandpai Range,Zr,1.07
Chandpai Range,Zr,1.25
Chandpai Range,Zr,1.85
Chandpai Range,Zr,2
Chandpai Range,Zr,1.91
Satkhira Range,Zr,1.7
Satkhira Range,Zr,2.26
Satkhira Range,Zr,1.38
Satkhira Range,Zr,1.74
Satkhira Range,Zr,1.84
Sarankhola Range,Nb,0.24
Sarankhola Range,Nb,0.2
Sarankhola Range,Nb,0.79
Sarankhola Range,Nb,1.1
Sarankhola Range,Nb,1.33
Khulna Range,Nb,1.33
Khulna Range,Nb,1.36
Khulna Range,Nb,1.15
Khulna Range,Nb,0.85
Khulna Range,Nb,1.53
Chandpai Range,Nb,0.73
Chandpai Range,Nb,0.79
Chandpai Range,Nb,0.79
Chandpai Range,Nb,1.17
Chandpai Range,Nb,0.81
Satkhira Range,Nb,1.11
Satkhira Range,Nb,0.69
Satkhira Range,Nb,1.04
Satkhira Range,Nb,1.26
Satkhira Range,Nb,1.46
Sarankhola Range,Pb,0
Sarankhola Range,Pb,0
Sarankhola Range,Pb,0
Sarankhola Range,Pb,0
Sarankhola Range,Pb,0
Khulna Range,Pb,0
Khulna Range,Pb,0
Khulna Range,Pb,0
Khulna Range,Pb,0
Khulna Range,Pb,0
Chandpai Range,Pb,0
Chandpai Range,Pb,0
Chandpai Range,Pb,0
Chandpai Range,Pb,0
Chandpai Range,Pb,0
Satkhira Range,Pb,0.16
Satkhira Range,Pb,0.24
Satkhira Range,Pb,0.18
Satkhira Range,Pb,0
Satkhira Range,Pb,0
